Kläranlage,Anfang_Probenahme,loess_change_15,color,trend,long,lat,Bundesland,trend_en
Ebersberg,2024-07-15,2,#9a333d,Ansteigend,11.989976444111,48.0783787085688,Bayern,Increasing
Emschermündung,2024-07-17,0,#ce7b47,Unverändert,6.77613866093138,51.5356847692422,Nordrhein-Westfalen,Unchanged
Erfurt,2024-07-03,2,#9a333d,Ansteigend,10.9847612762836,51.0401472330923,Thüringen,Increasing
Eriskirch,2024-07-17,0,#ce7b47,Unverändert,9.53237780192359,47.6190248499893,Baden-Württemberg,Unchanged
Erlangen,2024-07-17,0,#ce7b47,Unverändert,11,49.617,Bayern,Unchanged
Eschweiler,2024-07-17,-1,#eac66c,Fallend,6.33528383436757,50.8322158809548,Nordrhein-Westfalen,Decreasing
Flensburg,2024-07-17,-2,#eac66c,Fallend,9.41292906032738,54.8055164962954,Schleswig-Holstein,Decreasing
Frankfurt (Oder),2024-07-10,-2,#eac66c,Fallend,14.5475396714663,52.3683161417245,Brandenburg,Decreasing
Frankfurt-Griesheim,2024-07-17,-2,#eac66c,Fallend,8.65,50.09,NA,Decreasing
Frankfurt-Niederrad,2024-07-17,-2,#eac66c,Fallend,8.61859390355671,50.0885245587399,Hessen,Decreasing
Frankfurt-Sindlingen,2024-07-17,-2,#eac66c,Fallend,8.52375802524229,50.0646639848894,Hessen,Decreasing
Freilassing,2024-07-15,2,#9a333d,Ansteigend,12.9896415473684,47.8423759695764,Bayern,Increasing
Freising,2024-07-17,2,#9a333d,Ansteigend,11.7610855114359,48.4025136960312,Bayern,Increasing
Fulda,2024-07-17,-1,#eac66c,Fallend,9.64001221592424,50.5742127929973,Hessen,Decreasing
Gera,2024-07-10,0,#ce7b47,Unverändert,12.0303573123426,50.9207693632546,Thüringen,Unchanged
Germersheim,2024-07-03,2,#9a333d,Ansteigend,8.37980493996167,49.2249114940332,Rheinland-Pfalz,Increasing
Gerwisch,2024-07-07,1,#9a333d,Ansteigend,11.732,52.183,Sachsen-Anhalt,Increasing
Gleisdreieck,2024-07-03,2,#9a333d,Ansteigend,10.5651833578986,50.936866891752,Thüringen,Increasing
Glonn,2024-07-17,2,#9a333d,Ansteigend,11.8735922329979,47.9816042405075,Bayern,Increasing
Grafing,2024-07-17,2,#9a333d,Ansteigend,11.9746862747013,48.0367804587594,Bayern,Increasing
Greifswald,2024-07-17,0,#ce7b47,Unverändert,13.4390124838218,54.1157551474003,Mecklenburg-Vorpommern,Unchanged
Grimma,2024-07-17,2,#9a333d,Ansteigend,12.751372311175,51.2494645021125,Sachsen,Increasing
Grömitz,2024-07-17,2,#9a333d,Ansteigend,10.9974456172303,54.1842933482633,Schleswig-Holstein,Increasing
Göppingen,2024-07-17,1,#9a333d,Ansteigend,9.60358765287357,48.7040306762901,Baden-Württemberg,Increasing
Görlitz,2024-07-16,-2,#eac66c,Fallend,15.0009011036329,51.1690755333191,Sachsen,Decreasing
Göttingen,2024-07-17,1,#9a333d,Ansteigend,9.9161989101245709,51.5540585698535,Niedersachsen,Increasing
Gütersloh,2024-07-10,-2,#eac66c,Fallend,8.33620220424786,51.9003037278302,Nordrhein-Westfalen,Decreasing
Hagen,2024-07-10,2,#9a333d,Ansteigend,NA,NA,Nordrhein-Westfalen,Increasing
